runName,architecture,optuna_trial,status,dense_layers,dense_units_1,dense_units_2,dropout_rate,optimizer,learning_rate,weight_decay,batch_size,epochs,accuracy,val_accuracy,loss,val_loss,best_val_loss,accuracy_train,accuracy_val,precision_train,precision_val,recall_train,recall_val,f1_train,f1_val,experiment_id,run_id,augmentation,stage,start_time,end_time
"InceptionResNetV2 | dl:2, du1:512, du2:512, dr:0.5, opt:AdamW, lr:0.0007116048535518682, wd:4.860837893041549e-07, bs:16",InceptionResNetV2,92.0,completed,2,512.0,512.0,0.5,AdamW,0.0007116048535518,4.860837893041549e-07,16,21.0,0.7686202526092529,0.6487804651260376,0.6060996055603027,0.8434197902679443,0.8076776266098022,0.7741147741147741,0.6707317073170732,0.7776522300176478,0.6755602256182562,0.7741147741147741,0.6707317073170732,0.7727738496238551,0.6694750834971781,2,f604ce704a65498a872ad46b7a2904df,True,hyperparameter_optimization,2026-08-06 20:08:13.726000+00:00,2026-08-06 20:54:49.501000+00:00
"InceptionResNetV2 | dl:2, du1:512, du2:512, dr:0.4, opt:AdamW, lr:0.0007676231634168898, wd:2.12220318337036e-05, bs:16",InceptionResNetV2,91.0,completed,2,512.0,512.0,0.4,AdamW,0.0007676231634168,2.12220318337036e-05,16,27.0,0.8333333134651184,0.6634146571159363,0.413332462310791,0.8357583284378052,0.7877206802368164,0.8229548229548229,0.6658536585365854,0.8251995989427149,0.6631616969023738,0.8229548229548229,0.6658536585365854,0.822557554890904,0.6640078369233515,2,9847d5871ed344449e75388926db650a,True,hyperparameter_optimization,2026-08-06 19:09:58.343000+00:00,2026-08-06 20:08:12.272000+00:00
"InceptionResNetV2 | dl:2, du1:512, du2:256, dr:0.5, opt:AdamW, lr:0.0009979909260732017, wd:1.0895174232737556e-05, bs:32",InceptionResNetV2,89.0,pruned,2,512.0,256.0,0.5,AdamW,0.0009979909260732,1.0895174232737556e-05,32,9.0,0.6452991366386414,0.6365853548049927,0.8631174564361572,0.8812420964241028,,,,,,,,,,2,7ac44a9d2a8046d3b6ec09eff77693d0,True,hyperparameter_optimization,2026-08-06 17:34:28.369000+00:00,2026-08-06 17:57:18.532000+00:00
"InceptionResNetV2 | dl:2, du1:512, du2:512, dr:0.5, opt:AdamW, lr:5.7583474528613676e-05, wd:5.277826694971952e-05, bs:32",InceptionResNetV2,88.0,pruned,2,512.0,512.0,0.5,AdamW,5.758347452861368e-05,5.277826694971952e-05,32,8.0,0.5555555820465088,0.5902438759803772,1.0723553895950315,0.9820077419281006,,,,,,,,,,2,7641d952929d49a691677ccd7aa6bc41,True,hyperparameter_optimization,2026-08-06 17:14:04.406000+00:00,2026-08-06 17:34:26.724000+00:00
"InceptionResNetV2 | dl:2, du1:512, du2:512, dr:0.30000000000000004, opt:AdamW, lr:0.0005827675277549995, wd:6.709540869635268e-06, bs:32",InceptionResNetV2,87.0,pruned,2,512.0,512.0,0.3,AdamW,0.0005827675277549,6.709540869635268e-06,32,17.0,0.8064712882041931,0.6707317233085632,0.4817834794521332,0.8660633563995361,,,,,,,,,,2,572455c75938485499f2459ff1922135,True,hyperparameter_optimization,2026-08-06 16:31:15.306000+00:00,2026-08-06 17:14:02.962000+00:00
"InceptionResNetV2 | dl:2, du1:512, du2:512, dr:0.4, opt:AdamW, lr:0.0006937397489838784, wd:1.451524340112163e-05, bs:32",InceptionResNetV2,86.0,pruned,2,512.0,512.0,0.4,AdamW,0.0006937397489838,1.451524340112163e-05,32,9.0,0.6709401607513428,0.6341463327407837,0.7873245477676392,0.8683626651763916,,,,,,,,,,2,7c596400a97d4ea29d1c4e1bc3a7e7d9,True,hyperparameter_optimization,2026-08-06 16:08:22.463000+00:00,2026-08-06 16:31:13.883000+00:00
"InceptionResNetV2 | dl:2, du1:512, du2:512, dr:0.4, opt:AdamW, lr:0.0008718990811024427, wd:0.00021924724164995845, bs:32",InceptionResNetV2,85.0,pruned,2,512.0,512.0,0.4,AdamW,0.0008718990811024,0.0002192472416499,32,9.0,0.6837607026100159,0.6585366129875183,0.7601774334907532,0.8590313196182251,,,,,,,,,,2,402c4545a1ed47feb544a37092ed0133,True,hyperparameter_optimization,2026-08-06 15:45:28.153000+00:00,2026-08-06 16:08:21.052000+00:00
"InceptionResNetV2 | dl:2, du1:512, du2:512, dr:0.4, opt:AdamW, lr:0.0009912374043934682, wd:4.392271356969495e-05, bs:32",InceptionResNetV2,84.0,pruned,2,512.0,512.0,0.4,AdamW,0.0009912374043934,4.392271356969495e-05,32,17.0,0.7503052353858948,0.6560975313186646,0.6242247819900513,0.839029848575592,,,,,,,,,,2,815b57bb19b94f358badc37ab1aa89e5,True,hyperparameter_optimization,2026-08-06 15:01:48.765000+00:00,2026-08-06 15:45:26.768000+00:00
"InceptionResNetV2 | dl:2, du1:512, du2:128, dr:0.5, opt:AdamW, lr:0.0004025429798479, wd:1.9161803661649712e-05, bs:16",InceptionResNetV2,83.0,pruned,2,512.0,128.0,0.5,AdamW,0.0004025429798479,1.9161803661649712e-05,16,9.0,0.622710645198822,0.6487804651260376,0.9021978974342346,0.8672637343406677,,,,,,,,,,2,ca4a842c221c4726aecf79be7d04c482,True,hyperparameter_optimization,2026-08-06 14:43:08.975000+00:00,2026-08-06 15:01:47.313000+00:00
"InceptionResNetV2 | dl:2, du1:64, du2:512, dr:0.4, opt:AdamW, lr:0.0004925956768942938, wd:3.5931267648968076e-06, bs:16",InceptionResNetV2,82.0,pruned,2,64.0,512.0,0.4,AdamW,0.0004925956768942,3.593126764896808e-06,16,8.0,0.6495726704597473,0.6097561120986938,0.8451761603355408,0.9246935844421388,,,,,,,,,,2,5f7bb13374cf48d1aa1a9f83e1af68cf,True,hyperparameter_optimization,2026-08-06 14:26:45.747000+00:00,2026-08-06 14:43:07.515000+00:00
