runName,architecture,optuna_trial,status,conv_layers,filters_layer_1,filters_layer_2,filters_layer_3,kernel_size,strides,dense_layers,dense_units_1,dense_units_2,dropout_rate,optimizer,learning_rate,weight_decay,batch_size,epochs,accuracy,val_accuracy,loss,val_loss,best_val_loss,accuracy_train,accuracy_val,precision_train,precision_val,recall_train,recall_val,f1_train,f1_val,experiment_id,run_id,augmentation,stage,start_time,end_time
"CustomCNN | cl:2, fl1:128, fl2:128, ks:5, st:2, dl:1, du1:64, dr:0.4, opt:Adam, lr:0.00022429594751065504, bs:16",CustomCNN,39.0,pruned,2.0,128.0,128.0,,5.0,2.0,1,64.0,,0.4,Adam,0.0002242959475106,,16,8.0,0.4890109896659851,0.3365853726863861,1.3363690376281738,1.559989094734192,,,,,,,,,,3,d5546f457bc743a287718e3320df662a,False,hyperparameter_optimization,2026-08-16 06:22:09.793000+00:00,2026-08-16 06:47:26.887000+00:00
"CustomCNN | cl:1, fl1:32, ks:3, st:1, dl:1, du1:32, dr:0.4, opt:AdamW, lr:0.0003620874236547574, wd:2.958387441788873e-06, bs:32",CustomCNN,38.0,pruned,1.0,32.0,,,3.0,1.0,1,32.0,,0.4,AdamW,0.0003620874236547,2.958387441788873e-06,32,8.0,0.3827838897705078,0.4195121824741363,1.5205459594726562,1.451874852180481,,,,,,,,,,3,5c9ec344d6284aeda93371aca632d5cf,False,hyperparameter_optimization,2026-08-16 06:00:05.863000+00:00,2026-08-16 06:22:07.922000+00:00
"CustomCNN | cl:3, fl1:32, fl2:64, fl3:32, ks:5, st:2, dl:2, du1:128, du2:128, dr:0.5, opt:Adam, lr:1.013867337538833e-05, bs:16",CustomCNN,37.0,pruned,3.0,32.0,64.0,32.0,5.0,2.0,2,128.0,128.0,0.5,Adam,1.013867337538833e-05,,16,8.0,0.2625152766704559,0.3707317113876343,1.702721118927002,1.540905475616455,,,,,,,,,,3,0dbd4db5d16e4fb6bde68bf70a93fd15,False,hyperparameter_optimization,2026-08-16 05:53:27.821000+00:00,2026-08-16 06:00:04.031000+00:00
"CustomCNN | cl:3, fl1:16, fl2:128, fl3:16, ks:3, st:2, dl:1, du1:128, dr:0.3, opt:AdamW, lr:2.068772502796839e-05, wd:0.0009822351360752823, bs:32",CustomCNN,36.0,pruned,3.0,16.0,128.0,16.0,3.0,2.0,1,128.0,,0.3,AdamW,2.068772502796839e-05,0.0009822351360752,32,8.0,0.4029304087162018,0.4536585509777069,1.5727983713150024,1.5457051992416382,,,,,,,,,,3,6d5b6bb48cd845b0aece3356fe79ca51,False,hyperparameter_optimization,2026-08-16 05:49:06.247000+00:00,2026-08-16 05:53:25.777000+00:00
"CustomCNN | cl:3, fl1:32, fl2:32, fl3:128, ks:3, st:1, dl:1, du1:128, dr:0.5, opt:AdamW, lr:0.0006832480038254971, wd:9.350182167344265e-05, bs:32",CustomCNN,35.0,pruned,3.0,32.0,32.0,128.0,3.0,1.0,1,128.0,,0.5,AdamW,0.0006832480038254,9.350182167344264e-05,32,25.0,0.5866910815238953,0.5853658318519592,1.0804413557052612,1.0228257179260254,,,,,,,,,,3,3a913bbcc7d54673b858b20beef2b56d,False,hyperparameter_optimization,2026-08-16 03:57:12.197000+00:00,2026-08-16 05:49:04.016000+00:00
"CustomCNN | cl:3, fl1:128, fl2:128, fl3:32, ks:5, st:2, dl:2, du1:128, du2:32, dr:0.5, opt:AdamW, lr:0.0004189542310549296, wd:0.00020253201189887967, bs:32",CustomCNN,34.0,pruned,3.0,128.0,128.0,32.0,5.0,2.0,2,128.0,32.0,0.5,AdamW,0.0004189542310549,0.0002025320118988,32,8.0,0.4297924339771271,0.353658527135849,1.4064136743545532,1.5134642124176023,,,,,,,,,,3,bad60c9d5d93437c824f74235a9cd9b5,False,hyperparameter_optimization,2026-08-16 03:31:43.467000+00:00,2026-08-16 03:57:10.057000+00:00
"CustomCNN | cl:3, fl1:32, fl2:128, fl3:32, ks:3, st:2, dl:1, du1:128, dr:0.5, opt:AdamW, lr:0.000625401037922881, wd:0.0005316797595872918, bs:32",CustomCNN,33.0,pruned,3.0,32.0,128.0,32.0,3.0,2.0,1,128.0,,0.5,AdamW,0.0006254010379228,0.0005316797595872,32,44.0,0.6892551779747009,0.6292682886123657,0.8223758935928345,0.8813645243644714,,,,,,,,,,3,6ab0a14a0a96497eb3afcc20aed03b3f,False,hyperparameter_optimization,2026-08-16 02:53:23.196000+00:00,2026-08-16 03:31:41.203000+00:00
"CustomCNN | cl:3, fl1:32, fl2:128, fl3:32, ks:3, st:2, dl:1, du1:128, dr:0.5, opt:AdamW, lr:0.000713095666147426, wd:0.0004274934373883079, bs:32",CustomCNN,32.0,completed,3.0,32.0,128.0,32.0,3.0,2.0,1,128.0,,0.5,AdamW,0.0007130956661474,0.0004274934373883,32,65.0,0.7252747416496277,0.6536585092544556,0.7720374464988708,0.8180476427078247,0.817324697971344,0.7631257631257631,0.651219512195122,0.763505803098426,0.650304015593197,0.7631257631257631,0.651219512195122,0.7613594528912587,0.6463143061392702,3,3f3bee22593f44c78c01fada5045d890,False,hyperparameter_optimization,2026-08-16 01:56:24.881000+00:00,2026-08-16 02:53:21.059000+00:00
"CustomCNN | cl:3, fl1:32, fl2:128, fl3:32, ks:3, st:2, dl:1, du1:128, dr:0.5, opt:AdamW, lr:0.0009122980498460825, wd:0.00027764062881246147, bs:32",CustomCNN,31.0,completed,3.0,32.0,128.0,32.0,3.0,2.0,1,128.0,,0.5,AdamW,0.000912298049846,0.0002776406288124,32,96.0,0.7429792284965515,0.6682927012443542,0.706347644329071,0.8090953826904297,0.8058752417564392,0.7802197802197802,0.6658536585365854,0.7881548355879568,0.6651543100610532,0.7802197802197802,0.6658536585365854,0.7808564002557301,0.6614453150911896,3,b7edd32584694efa969dd74ac3945db6,False,hyperparameter_optimization,2026-08-16 00:32:29.168000+00:00,2026-08-16 01:56:22.803000+00:00
"CustomCNN | cl:1, fl1:32, ks:3, st:2, dl:1, du1:128, dr:0.3, opt:AdamW, lr:0.0006632077855187068, wd:0.00036736155641917297, bs:32",CustomCNN,30.0,pruned,1.0,32.0,,,3.0,2.0,1,128.0,,0.3,AdamW,0.0006632077855187,0.0003673615564191,32,8.0,0.4383394420146942,0.4000000059604645,1.4527523517608645,1.3976752758026123,,,,,,,,,,3,e11f516c80954bf796c60a4ec9e2b74e,False,hyperparameter_optimization,2026-08-16 00:26:45.702000+00:00,2026-08-16 00:32:27.109000+00:00
"CustomCNN | cl:3, fl1:32, fl2:16, fl3:64, ks:5, st:2, dl:2, du1:32, du2:32, dr:0.5, opt:AdamW, lr:1.1600692780068098e-05, wd:6.86443318247699e-05, bs:32",CustomCNN,29.0,pruned,3.0,32.0,16.0,64.0,5.0,2.0,2,32.0,32.0,0.5,AdamW,1.1600692780068098e-05,6.86443318247699e-05,32,8.0,0.1752136796712875,0.1365853697061538,2.0124659538269043,1.8506617546081543,,,,,,,,,,3,e6c1759eebf840f887d92d4c1b2700b6,False,hyperparameter_optimization,2026-08-16 00:20:24.689000+00:00,2026-08-16 00:26:43.969000+00:00
"CustomCNN | cl:2, fl1:64, fl2:64, ks:3, st:2, dl:1, du1:64, dr:0.4, opt:AdamW, lr:0.00013249381747497234, wd:0.000883332402601216, bs:32",CustomCNN,28.0,pruned,2.0,64.0,64.0,,3.0,2.0,1,64.0,,0.4,AdamW,0.0001324938174749,0.0008833324026012,32,8.0,0.4224664270877838,0.4487804770469665,1.4369112253189087,1.396310806274414,,,,,,,,,,3,c06f92e3af1147bf8b1c73f070ec0443,False,hyperparameter_optimization,2026-08-16 00:08:41.840000+00:00,2026-08-16 00:20:22.428000+00:00
"CustomCNN | cl:3, fl1:16, fl2:128, fl3:32, ks:3, st:2, dl:2, du1:128, du2:128, dr:0.5, opt:AdamW, lr:0.00032287280654031114, wd:9.103468739283908e-06, bs:32",CustomCNN,27.0,pruned,3.0,16.0,128.0,32.0,3.0,2.0,2,128.0,128.0,0.5,AdamW,0.0003228728065403,9.103468739283908e-06,32,42.0,0.6135531067848206,0.6219512224197388,1.0047531127929688,0.9156978130340576,,,,,,,,,,3,fd9b92113de74cd690ca2d0ceb9b9fd6,False,hyperparameter_optimization,2026-08-15 23:46:11.431000+00:00,2026-08-16 00:08:39.841000+00:00
