runName,architecture,optuna_trial,status,dense_layers,dense_units_1,dense_units_2,dropout_rate,optimizer,learning_rate,weight_decay,batch_size,epochs,accuracy,val_accuracy,loss,val_loss,best_val_loss,accuracy_train,accuracy_val,precision_train,precision_val,recall_train,recall_val,f1_train,f1_val,experiment_id,run_id,augmentation,stage,start_time,end_time
"ResNet50V2 | dl:2, du1:256, du2:512, dr:0.5, opt:Adam, lr:0.00023745716127254344, bs:32",ResNet50V2,25.0,completed,2,256.0,512.0,0.5,Adam,0.0002374571612725,,32,20.0,0.8052502870559692,0.6414633989334106,0.5137423872947693,0.966321349143982,0.9173284769058228,0.8028083028083028,0.6,0.8125102174920408,0.6077822591642953,0.8028083028083028,0.6,0.8020496713893158,0.6004435168584299,2,0d0cabb2ec974d21a7b49074c5f1a3fd,True,hyperparameter_optimization,2026-08-02 08:55:08.673000+00:00,2026-08-02 09:14:51.831000+00:00
"ResNet50V2 | dl:0, dr:0.4, opt:AdamW, lr:0.00032477042114282807, wd:2.6317980555310217e-06, bs:16",ResNet50V2,24.0,pruned,0,,,0.4,AdamW,0.0003247704211428,2.6317980555310217e-06,16,8.0,0.6904761791229248,0.5682926774024963,0.759218692779541,0.989668309688568,,,,,,,,,,2,327735753d7c43e692ec0cbd9f27ee3f,True,hyperparameter_optimization,2026-08-02 08:48:53.444000+00:00,2026-08-02 08:55:07.385000+00:00
"ResNet50V2 | dl:0, dr:0.5, opt:Adam, lr:0.0008300343400692307, bs:32",ResNet50V2,23.0,pruned,0,,,0.5,Adam,0.0008300343400692,,32,11.0,0.7014651894569397,0.6195122003555298,0.7094611525535583,0.9539351463317872,,,,,,,,,,2,d186514f8c524496b0f4a38849541418,True,hyperparameter_optimization,2026-08-02 08:38:28.849000+00:00,2026-08-02 08:48:52.281000+00:00
"ResNet50V2 | dl:0, dr:0.5, opt:Adam, lr:0.0004317343156005071, bs:32",ResNet50V2,22.0,pruned,0,,,0.5,Adam,0.0004317343156005,,32,8.0,0.6446886658668518,0.5804877877235413,0.8738805055618286,1.0023725032806396,,,,,,,,,,2,b6260b5d2444491eb0ff930b3d579968,True,hyperparameter_optimization,2026-08-02 08:30:50.725000+00:00,2026-08-02 08:38:27.861000+00:00
"ResNet50V2 | dl:0, dr:0.5, opt:Adam, lr:0.0003982809026629999, bs:32",ResNet50V2,21.0,pruned,0,,,0.5,Adam,0.0003982809026629,,32,8.0,0.6410256624221802,0.6121951341629028,0.8791001439094543,1.0085870027542114,,,,,,,,,,2,d1b917affd894120a89572ae69226535,True,hyperparameter_optimization,2026-08-02 08:23:13.867000+00:00,2026-08-02 08:30:49.720000+00:00
"ResNet50V2 | dl:0, dr:0.30000000000000004, opt:Adam, lr:0.0004852160305816617, bs:32",ResNet50V2,20.0,pruned,0,,,0.3,Adam,0.0004852160305816,,32,8.0,0.7075701951980591,0.5926828980445862,0.7176451086997986,0.9549054503440856,,,,,,,,,,2,c8d873afc82e457f819e0ea85f8693ff,True,hyperparameter_optimization,2026-08-02 08:15:45.642000+00:00,2026-08-02 08:23:12.879000+00:00
"ResNet50V2 | dl:0, dr:0.4, opt:Adam, lr:0.0009489734738198948, bs:32",ResNet50V2,19.0,completed,0,,,0.4,Adam,0.0009489734738198,,32,21.0,0.791208803653717,0.6195122003555298,0.5360332727432251,0.9240558743476868,0.9216238856315612,0.8186813186813187,0.6219512195121951,0.8269005579475531,0.6242766002594148,0.8186813186813187,0.6219512195121951,0.8168038624867336,0.6197160145448274,2,6f5304e7de1443928f0f04c69d5035bb,True,hyperparameter_optimization,2026-08-02 07:54:57.453000+00:00,2026-08-02 08:15:44.671000+00:00
"ResNet50V2 | dl:0, dr:0.5, opt:Adam, lr:0.0008064428251309104, bs:32",ResNet50V2,17.0,completed,0,,,0.5,Adam,0.0008064428251309,,32,45.0,0.7753357887268066,0.6268292665481567,0.5438045859336853,0.8928385376930237,0.8864229321479797,0.8583638583638583,0.6317073170731707,0.8628810932839835,0.6284013605442176,0.8583638583638583,0.6317073170731707,0.8570958786890149,0.6274597897233327,2,ad90383de7d948abb375e00162a12137,True,hyperparameter_optimization,2026-08-02 06:36:43.461000+00:00,2026-08-02 07:19:01.332000+00:00
"ResNet50V2 | dl:0, dr:0.30000000000000004, opt:AdamW, lr:4.747875525539655e-05, wd:0.009359977491845221, bs:16",ResNet50V2,16.0,pruned,0,,,0.3,AdamW,4.747875525539655e-05,0.0093599774918452,16,8.0,0.4945054948329925,0.497560977935791,1.231475830078125,1.1893635988235474,,,,,,,,,,2,60961f3a0e7c4933acae2a6b7540af85,True,hyperparameter_optimization,2026-08-02 06:30:29.960000+00:00,2026-08-02 06:36:42.540000+00:00
"ResNet50V2 | dl:0, dr:0.30000000000000004, opt:Adam, lr:0.0008444089174111167, bs:32",ResNet50V2,15.0,completed,0,,,0.3,Adam,0.0008444089174111,,32,25.0,0.8211233019828796,0.6414633989334106,0.4662297964096069,0.9227532148361206,0.8903449177742004,0.8571428571428571,0.6707317073170732,0.8578279055281343,0.6653183097943011,0.8571428571428571,0.6707317073170732,0.8555586821762023,0.664605040607361,2,634295fec81d471eacdc4ee21140541e,True,hyperparameter_optimization,2026-08-02 06:05:49.189000+00:00,2026-08-02 06:30:28.796000+00:00
"ResNet50V2 | dl:1, du1:512, dr:0.5, opt:AdamW, lr:0.00017132771723914132, wd:0.0001886979885137918, bs:16",ResNet50V2,14.0,completed,1,512.0,,0.5,AdamW,0.0001713277172391,0.0001886979885137,16,19.0,0.8730158805847168,0.6439024209976196,0.3424346148967743,0.9477366209030152,0.916584312915802,0.8760683760683761,0.6390243902439025,0.8812918696935235,0.6459724609219709,0.8760683760683761,0.6390243902439025,0.8750479213374941,0.6353686309052172,2,7a0d4f1efd0e417493edff7e5d168128,True,hyperparameter_optimization,2026-08-02 05:49:35.662000+00:00,2026-08-02 06:05:48.118000+00:00
"ResNet50V2 | dl:0, dr:0.2, opt:AdamW, lr:0.00014116248290083462, wd:8.349682681869564e-07, bs:32",ResNet50V2,13.0,pruned,0,,,0.2,AdamW,0.0001411624829008,8.349682681869564e-07,32,8.0,0.6074481010437012,0.5414634346961975,0.9443549513816832,1.060118556022644,,,,,,,,,,2,496aa18212e4467cbf1e98a73dec8fe4,True,hyperparameter_optimization,2026-08-02 05:42:15.525000+00:00,2026-08-02 05:49:34.524000+00:00
"ResNet50V2 | dl:2, du1:64, du2:64, dr:0.30000000000000004, opt:Adam, lr:0.00011338892610537933, bs:16",ResNet50V2,12.0,pruned,2,64.0,64.0,0.3,Adam,0.0001133889261053,,16,8.0,0.5909646153450012,0.5975610017776489,1.0213507413864136,0.9883360862731934,,,,,,,,,,2,1e00baad1760411fbe98ee0c9b1b6aa6,True,hyperparameter_optimization,2026-08-02 05:36:04.381000+00:00,2026-08-02 05:42:14.412000+00:00
"ResNet50V2 | dl:0, dr:0.2, opt:Adam, lr:0.0008550546562097814, bs:16",ResNet50V2,11.0,completed,0,,,0.2,Adam,0.0008550546562097,,16,24.0,0.8498168587684631,0.6195122003555298,0.3989424705505371,0.9556968808174132,0.9449406266212464,0.8772893772893773,0.6292682926829268,0.8798966772909337,0.6311835342491355,0.8772893772893773,0.6292682926829268,0.8767460695094881,0.6297427550316855,2,fdff4386ef2e4f13a16eac1ae8bab7ba,True,hyperparameter_optimization,2026-08-02 05:16:17.870000+00:00,2026-08-02 05:36:03.102000+00:00
"ResNet50V2 | dl:0, dr:0.5, opt:AdamW, lr:0.00011003326319211724, wd:0.005593431720167075, bs:16",ResNet50V2,10.0,pruned,0,,,0.5,AdamW,0.0001100332631921,0.005593431720167,16,8.0,0.5231990218162537,0.5756097435951233,1.1657986640930176,1.0414637327194214,,,,,,,,,,2,bda5ead24c2b417e9023f9b284535161,True,hyperparameter_optimization,2026-08-02 05:10:09.662000+00:00,2026-08-02 05:16:16.790000+00:00
"ResNet50V2 | dl:1, du1:512, dr:0.30000000000000004, opt:Adam, lr:1.748393190604017e-05, bs:32",ResNet50V2,9.0,pruned,1,512.0,,0.3,Adam,1.748393190604017e-05,,32,8.0,0.6001220941543579,0.5536585450172424,1.019744634628296,1.099540114402771,,,,,,,,,,2,c18a2511358e4dfb9ede8df326a9aa7d,True,hyperparameter_optimization,2026-08-02 05:02:46.067000+00:00,2026-08-02 05:10:08.524000+00:00
"ResNet50V2 | dl:1, du1:64, dr:0.4, opt:AdamW, lr:3.2561657847318864e-05, wd:0.0006250191439004608, bs:32",ResNet50V2,8.0,pruned,1,64.0,,0.4,AdamW,3.2561657847318864e-05,0.0006250191439004,32,8.0,0.4737484753131866,0.497560977935791,1.3506274223327637,1.2569096088409424,,,,,,,,,,2,60374482bd6a45b4908442210f256397,True,hyperparameter_optimization,2026-08-02 04:55:25.431000+00:00,2026-08-02 05:02:44.987000+00:00
"ResNet50V2 | dl:2, du1:64, du2:128, dr:0.30000000000000004, opt:Adam, lr:2.4152693847080165e-05, bs:32",ResNet50V2,7.0,completed,2,64.0,128.0,0.3,Adam,2.4152693847080165e-05,,32,71.0,0.6691086888313293,0.6243902444839478,0.8077961802482605,0.9424917697906494,0.9424519538879396,0.7527472527472527,0.6219512195121951,0.753553853539386,0.6227945353184452,0.7527472527472527,0.6219512195121951,0.7493701284485914,0.6209083085602985,2,e358165db290444fa7af134934aae3e6,True,hyperparameter_optimization,2026-08-02 03:49:36.125000+00:00,2026-08-02 04:55:24.093000+00:00
"ResNet50V2 | dl:1, du1:128, dr:0.2, opt:Adam, lr:1.3622410783931968e-05, bs:32",ResNet50V2,6.0,completed,1,128.0,,0.2,Adam,1.3622410783931968e-05,,32,83.0,0.7564102411270142,0.5926828980445862,0.6369583606719971,0.9520291686058044,0.9505506753921508,0.7881562881562881,0.5951219512195122,0.7939466487370128,0.6009733298497599,0.7881562881562881,0.5951219512195122,0.7880784591323666,0.5963374717987342,2,dc2ee645cd0749b98bd0833eb40d5261,True,hyperparameter_optimization,2026-08-02 02:33:29.259000+00:00,2026-08-02 03:49:34.827000+00:00
"ResNet50V2 | dl:1, du1:64, dr:0.5, opt:AdamW, lr:0.0006492284276816792, wd:1.2408709217378583e-05, bs:16",ResNet50V2,5.0,completed,1,64.0,,0.5,AdamW,0.0006492284276816,1.2408709217378583e-05,16,21.0,0.8131868243217468,0.6390243768692017,0.4611697793006897,0.985094666481018,0.9235418438911438,0.854090354090354,0.6317073170731707,0.8549907474449842,0.634276483462559,0.854090354090354,0.6317073170731707,0.8532993178685635,0.6320071328188805,2,2d20fec620a244b287795ff4634917ef,True,hyperparameter_optimization,2026-08-02 02:16:15.360000+00:00,2026-08-02 02:33:28.138000+00:00
"ResNet50V2 | dl:1, du1:64, dr:0.5, opt:AdamW, lr:0.00021358116032948408, wd:0.0007684617650615006, bs:16",ResNet50V2,4.0,completed,1,64.0,,0.5,AdamW,0.0002135811603294,0.0007684617650615,16,22.0,0.7667887806892395,0.6219512224197388,0.5899205803871155,0.9149230122566224,0.897036075592041,0.8125763125763126,0.6219512195121951,0.8170004339880819,0.616581444106947,0.8125763125763126,0.6219512195121951,0.8093090404859097,0.6136469669382821,2,f9b6b2d1dd6940e9953b997dd68d545f,True,hyperparameter_optimization,2026-08-02 01:58:14.500000+00:00,2026-08-02 02:16:14.064000+00:00
"ResNet50V2 | dl:1, du1:256, dr:0.4, opt:AdamW, lr:1.621924770154008e-05, wd:1.2064349043122843e-07, bs:16",ResNet50V2,3.0,completed,1,256.0,,0.4,AdamW,1.621924770154008e-05,1.2064349043122845e-07,16,68.0,0.7887668013572693,0.6341463327407837,0.550426721572876,0.938244640827179,0.9362413883209229,0.8418803418803419,0.6317073170731707,0.843859349978056,0.6277795036737597,0.8418803418803419,0.6317073170731707,0.840637570005854,0.6288212187284328,2,8b3df39a10c248dab5ca6c40dd1aac62,True,hyperparameter_optimization,2026-08-02 01:05:39.923000+00:00,2026-08-02 01:58:13.312000+00:00
"ResNet50V2 | dl:1, du1:64, dr:0.2, opt:Adam, lr:0.0001904323445876234, bs:32",ResNet50V2,2.0,completed,1,64.0,,0.2,Adam,0.0001904323445876,,32,33.0,0.8424908518791199,0.6268292665481567,0.4047650396823883,0.9266118407249452,0.9044718146324158,0.8766788766788767,0.624390243902439,0.8795532768605835,0.6283586059325916,0.8766788766788767,0.624390243902439,0.8761511399560001,0.6237211443287818,2,2ec2ea791a3f42e6aaee01aa53c8f970,True,hyperparameter_optimization,2026-08-02 00:34:54.055000+00:00,2026-08-02 01:05:38.617000+00:00
"ResNet50V2 | dl:2, du1:64, du2:256, dr:0.4, opt:AdamW, lr:0.0007923381888158849, wd:2.4154715683457484e-05, bs:32",ResNet50V2,1.0,completed,2,64.0,256.0,0.4,AdamW,0.0007923381888158,2.4154715683457484e-05,32,15.0,0.8131868243217468,0.6414633989334106,0.5070776343345642,0.9831211566925048,0.950153112411499,0.757020757020757,0.6146341463414634,0.7644715631426253,0.6169913055215022,0.757020757020757,0.6146341463414634,0.7523896701883699,0.6094831642795104,2,98241901eb934f41affdd71a4557955e,True,hyperparameter_optimization,2026-08-02 00:19:53.501000+00:00,2026-08-02 00:34:52.835000+00:00
"ResNet50V2 | dl:1, du1:128, dr:0.4, opt:Adam, lr:0.00018682639378722106, bs:16",ResNet50V2,0.0,completed,1,128.0,,0.4,Adam,0.0001868263937872,,16,29.0,0.8351648449897766,0.6365853548049927,0.4352206587791443,0.9400027990341188,0.9251838326454164,0.8785103785103785,0.6317073170731707,0.8803291598343151,0.6331658550613988,0.8785103785103785,0.6317073170731707,0.8774362038920804,0.6306696594682062,2,b910cc0b787740a88f2f17416d713e8c,True,hyperparameter_optimization,2026-08-01 23:56:26.832000+00:00,2026-08-02 00:19:52.170000+00:00
